HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB36347,"2,3-Dihydroxy-1,3-diphenyl-1-propanone",C15H14O3,242.094294314
HMDB36348,Vitisin A,C26H25O14,561.124430508
HMDB36349,Amlaic acid,C27H24O19,652.091178586
HMDB36350,Methyl 2-propenyl tetrasulfide,C4H8S4,183.950883016
HMDB36351,Methyl 2-propenyl pentasulfide,C4H8S5,215.922953706
HMDB36352,Viniferol A,C56H42O12,906.267626808
HMDB36353,Glycerol trisinapate,C36H38O15,710.221070546
HMDB36354,1-Pentenyl glucosinolate,C12H21NO9S2,387.065772655
HMDB36355,3-Methylpentyl glucosinolate,C13H25NO9S2,403.097072783
HMDB36356,[12]-Gingerol,C23H38O4,378.277009704
HMDB36357,Oleanolic acid 3-[glucosyl-(1->4)-xyloside],C41H66O12,750.455427576
HMDB36358,Momordin I,C41H64O13,764.434692134
HMDB36359,Pandanamine,C18H23NO4,317.162708229
HMDB36360,Pipercyclobutanamide A,C34H38N2O6,570.272986958
HMDB36361,Pipercyclobutanamide B,C36H40N2O6,596.288637022
HMDB36362,28-[Glucosyl-(1->6)-glucosyl]oleanolic acid 3-arabinoside,C47H76O17,912.508251006
HMDB36363,4-Deoxy-6-hydroxysquamotacin,C37H66O7,622.480854466
HMDB36364,beta-Santalene,C15H24,204.187800768
HMDB36365,Cyclopassifloside X,C37H62O12,698.424127448
HMDB36366,trans-delta-Viniferin 3''-glucoside,C34H32O11,616.194461866
HMDB36367,trans-delta-Viniferin 3'''-glucoside,C34H32O11,616.194461866
HMDB36368,"(R)-3,4-Dihydro-2-methyl-2-(4,8,12-trimethyl-3,7,11-tridecatrienyl)-2H-1-benzopyran-6-ol",C26H38O2,382.28718046
HMDB36369,Annocherine B,C18H17NO4,311.115758037
HMDB36370,1-(2-Propenylsulfinyl)propyl propyl disulfide,C9H18OS3,238.051977268
HMDB36371,3-Hydroxy-1-phenyl-1-eicosanone,C26H44O2,388.334130652
HMDB36372,1-Propenyl 1-(2-propenylsulfinyl)propyl disulfide,C9H16OS3,236.036327204
HMDB36373,2-Propenyl 1-(1-propenylsulfinyl)propyl disulfide,C9H16OS3,236.036327204
HMDB36374,Methyl 1-(propylsulfinyl)propyl disulfide,C7H16OS3,212.036327204
HMDB36375,2-Propenyl 1-(propylsulfinyl)propyl disulfide,C9H18OS3,238.051977268
HMDB36376,"3-(4-Hydroxy-3-methoxyphenyl)-1,2-propanediol 2-O-(galloyl-glucoside)",C23H28O13,512.152990982
HMDB36377,7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,C17H18O10,382.089996796
HMDB36378,2-Decarboxybetanin,C23H27N2O11,507.161484716
HMDB36379,2-Decarboxyphyllocactin,C26H29N2O14,593.161878646
HMDB36380,"xi-2,3-Dihydro-3,5-dihydroxy-6-methyl-4H-pyran-4-one",C7H10O4,158.057908808
HMDB36381,N-cis-Feruloyltyramine,C18H19NO4,313.131408101
HMDB36382,6-Deoxyfagomine,C6H13NO2,131.094628665
HMDB36383,Calystegine B5,C7H13NO4,175.084457909
HMDB36384,Calystegine A7,C7H13NO3,159.089543287
HMDB36385,Methyl 4-phenylbutanoate,C11H14O2,178.099379692
HMDB36386,1-Phenylpropyl butyrate,C13H18O2,206.13067982
HMDB36387,3-Phenylpropyl cinnamate,C18H18O2,266.13067982
HMDB36388,3-Phenylpropyl propanoate,C12H16O2,192.115029756
HMDB36389,3-Phenylpropyl isovalerate,C14H20O2,220.146329884
HMDB36390,3-Phenylpropyl hexanoate,C15H22O2,234.161979948
HMDB36391,alpha-Methylphenethyl butyrate,C13H18O2,206.13067982
HMDB36392,(Z)-alpha-Bergamotenoic acid,C15H22O2,234.161979948
HMDB36394,N-Methylcalystegine C1,C8H15NO5,205.095022595
HMDB36395,2-Methylpropyl 3-oxobutanoate,C8H14O3,158.094294314
HMDB36396,3-Methylbutyl 3-oxobutanoate,C9H16O3,172.109944378
HMDB36397,Labadoside,C38H42O16,754.247285296
HMDB36398,Rumexoside,C20H22O10,422.121296924
HMDB36399,"2',7-Dihydroxy-4'-methoxy-8-prenylflavan",C21H24O4,340.167459256
HMDB36400,"2',7-Dihydroxy-4'-methoxy-8-prenylflavan 2',7-diglucoside",C33H44O14,664.273106116
HMDB36401,"2',4'-Dihydroxy-7-methoxy-8-prenylflavan",C21H24O4,340.167459256
HMDB36402,alpha-Bergamotenol,C15H24O,220.18271539
HMDB36403,Ganosporelactone B,C30H42O7,514.293053698
HMDB36404,3beta-Acetoxy-19alpha-hydroxy-12-ursene,C32H52O3,484.39164553
HMDB36405,7-Epizucchini factor A,C44H59NO5,681.439324003
HMDB36406,Ganosporelactone A,C30H40O7,512.277403634
HMDB36408,Franguloside,C21H20O9,416.110732238
HMDB36409,"1,2-Dihydrodehydroguaiaretic acid",C20H22O4,326.151809192
HMDB36410,Liriodendrin,C34H46O18,742.268414668
HMDB36411,"5-Hydroxy-4',7-dimethoxy-6-methylflavone",C18H16O5,312.099773622
HMDB36413,alpha-Cubebene,C15H24,204.187800768
HMDB36414,Anabsin,C30H40O7,512.277403634
HMDB36415,Anabsinthin,C30H40O6,496.282489012
HMDB36416,beta-Spathulene,C15H22,202.172150704
HMDB36417,1-Epi-alpha-gurjunene,C15H24,204.187800768
HMDB36418,(-)-Aromadendrene,C15H24,204.187800768
HMDB36419,"(1beta,4alpha,5beta,6alpha,7alpha)-9-Aromadendrene",C15H24,204.187800768
HMDB36420,Spathulenol,C15H24O,220.18271539
HMDB36421,(-)-Valeranone,C15H26O,222.198365454
HMDB36422,Fauronyl acetate,C17H28O3,280.203844762
HMDB36423,Cynaropicrin,C19H22O6,346.141638436
HMDB36424,Allyl undecylenate,C14H24O2,224.177630012
HMDB36425,Persicachrome,C25H36O3,384.266445018
HMDB36426,Butyl undecylenate,C15H28O2,240.20893014
HMDB36427,Procurcumenol,C15H22O2,234.161979948
HMDB36428,"(4alpha,5beta,6alpha,7alpha,10alpha)-1-Aromadendrene",C15H24,204.187800768
HMDB36429,"(3beta,4alpha,5alpha,14alpha,24xi)-4,14,24-Trimethylcholest-9(11)-en-3-ol",C30H52O,428.401816286
HMDB36430,Momordicoside K,C37H60O9,648.423733518
HMDB36431,"1,3,9-Trimethyluric acid",C8H10N4O3,210.075290206
HMDB36432,Isobutyl salicylate,C11H14O3,194.094294314
HMDB36433,"(3beta,24xi)-Cycloart-25-ene-3,24,27-triol",C30H50O3,458.375995466
HMDB36434,Lucidenic acid E2,C29H40O8,516.272318256
HMDB36435,Lucidenic acid D2,C29H38O8,514.256668192
HMDB36436,Lucidenic acid F,C27H36O6,456.251188884
HMDB36437,Methyl lucidenate F,C28H38O6,470.266838948
HMDB36438,Fasciculic acid B,C36H60O9,636.423733518
HMDB36439,Fasciculic acid A,C36H60O8,620.428818896
HMDB36440,Fasciculic acid C,C38H63NO11,709.440111863
HMDB36441,o-Vinylanisole,C9H10O,134.073164942
HMDB36442,"3beta,15alpha-Diacetoxylanosta-8,24-dien-26-oic acid",C34H52O6,556.376389396
HMDB36443,Rotundone,C15H22O,218.167065326
HMDB36444,alpha-Bulnesene,C15H24,204.187800768
HMDB36445,Bulnesol,C15H26O,222.198365454
HMDB36446,beta-Kessyl ketone,C15H24O2,236.177630012
HMDB36447,Guaioxide,C15H26O,222.198365454
HMDB36448,Zedoarondiol,C15H24O3,252.172544634
HMDB36449,"(1alpha,4beta,5beta)-4-Hydroxy-7(11),10(14)-guaiadien-8-one",C15H22O2,234.161979948
HMDB36450,"(4alpha,10alpha)-1(5),6-Guaiadiene",C15H24,204.187800768
HMDB36451,(S)-gamma-Calacorene,C15H20,200.15650064
HMDB36452,alpha-Cadinol,C15H26O,222.198365454
HMDB36453,"3,4-Dihydrocadalene",C15H20,200.15650064
HMDB36454,Pyrocurzerenone,C15H16O,212.120115134
HMDB36455,Lacinilene C,C15H18O3,246.125594442
HMDB36456,"10-Hydroxy-3-methoxy-1,3,5,7-cadinatetraen-9-one",C16H20O3,260.141244506
HMDB36457,Emodinanthranol,C15H12O4,256.073558872
HMDB36458,1-Aminocyclopropanecarboxylic acid,C4H7NO2,101.047678473
HMDB36459,Macelignan,C20H24O4,328.167459256
HMDB36460,Safynol,C13H12O2,200.083729628
HMDB36461,Geosmin,C12H22O,182.167065326
HMDB36462,Virolongin B,C23H30O6,402.204238692
HMDB36463,"1-(4-Hydroxy-3,5-dimethoxyphenyl)-2-[2-methoxy-4-(1-propenyl)phenoxy]-1-propanol",C21H26O6,374.172938564
HMDB36466,Zerumbone oxide,C15H22O2,234.161979948
HMDB36467,alpha-Humulene,C15H24,204.187800768
HMDB36468,"1,5,5,8-Tetramethyl-12-thiabicyclo[9.1.0]dodeca-3,7-diene",C15H24S,236.159871458
HMDB36469,"3,7,7,10-Tetramethyl-12-thiabicyclo[9.1.0]dodeca-3,7-diene",C15H24S,236.159871458
HMDB36470,"1,4-Dimethyl-7-ethylazulene",C14H16,184.125200512
HMDB36471,"7-Ethyl-3,6-dihydro-1,4-dimethylazulene",C14H18,186.140850576
HMDB36472,Verimol D,C18H22O4,302.151809192
HMDB36473,8-Epixanthatin,C15H18O3,246.125594442
HMDB36474,Verimol G,C20H26O5,346.178023942
HMDB36476,Araliasaponin I,C47H76O18,928.503165628
HMDB36477,Araliasaponin III,C53H86O23,1090.555989058
HMDB36478,Araliasaponin IV,C54H88O24,1120.566553744
HMDB36479,Cyclolinopeptide F,C55H73N9O10S2,1083.492180981
HMDB36480,Assamsaponin F,C62H94O29,1302.588077046
HMDB36481,Assamsaponin G,C60H92O28,1260.57751236
HMDB36482,Assamsaponin H,C60H92O28,1260.57751236
HMDB36483,Assamsaponin I,C60H92O28,1260.57751236
HMDB36484,Trigoneoside Xb,C45H76O19,920.49808025
HMDB36485,Trigoneoside XIb,C44H74O19,906.482430186
HMDB36486,Assamsaponin J,C66H96O27,1320.613897866
HMDB36487,Achillicin,C17H22O5,306.146723814
HMDB36488,Annuolide C,C15H18O3,246.125594442
HMDB36489,Dihydrocumambrin A,C17H24O5,308.162373878
HMDB36491,Di-2-propenyl sulfide,C6H10S,114.05032101
HMDB36492,Borax,B4H20Na2O17,382.086810428
HMDB36522,Verimol J,C10H14O3,182.094294314
HMDB36523,Licoagroside B,C18H24O12,432.126776232
HMDB36524,"3b,8b-Dihydroxy-6b-(3-chloro-2-hydroxy-2-methylbutanoyloxy)-7(11)-eremophilen-12,8-olide",C20H29ClO7,416.160180989
HMDB36525,Myricanol 5-glucoside,C27H36O10,520.230847372
HMDB36526,Myricanol 5-(6-galloylglucoside),C34H40O14,672.241805988
HMDB36527,Myricanol 5-[arabinosyl-(1->6)-glucoside],C32H44O15,668.268020738
HMDB36528,Myricanol 5-laminaribioside,C33H46O15,682.283670802
HMDB36529,Myricanol 5-beta-sophoroside,C33H46O15,682.283670802
HMDB36540,Heliantriol A1,C30H50O3,458.375995466
HMDB36544,1'-Acetoxyeugenol acetate,C14H16O5,264.099773622
HMDB36546,Tin chloride (SnCl4),Cl4Sn,259.777607399
HMDB36547,9-Hydroxyasimicinone,C37H66O8,638.475769088
HMDB36548,Hericenone B,C27H31NO4,433.225308485
HMDB36549,Apotrichothecene,C15H24O2,236.177630012
HMDB36550,3-Ketoapotrichothecene,C15H22O3,250.15689457
HMDB36551,Cyclolinopeptide G,C56H75N9O10S2,1097.507831045
HMDB36552,Cyclolinopeptide I,C55H73N9O9S2,1067.497266359
HMDB36553,Cyclolinopeptide H,C56H75N9O9S2,1081.512916423
HMDB36555,Glycyrrhizaisoflavone A,C20H18O7,370.10525293
HMDB36556,Glycyrrhizaisoflavone B,C21H18O6,366.110338308
HMDB36557,MS 3,C21H24O7,388.152203122
HMDB36558,(S)-Verimol F,C17H20O3,272.141244506
HMDB36559,(-)-beta-Pinene,C10H16,136.125200512
HMDB36560,beta-Pinene,C10H16,136.125200512
HMDB36561,Agnuside,C22H26O11,466.147511674
HMDB36562,Aucubin,C15H22O9,346.126382302
HMDB36563,Valerenolic acid,C15H22O3,250.15689457
HMDB36564,Sugiol,C20H28O2,300.20893014
HMDB36565,beta-Ionone,C13H20O,192.151415262
HMDB36566,Xantofyl palmitate,C72H116O4,1044.8873622
HMDB36567,"(3b,5a,6b,25R)-3,6-Dihydroxyspirostane-2,12-dione 3-[4'-(2''-glucosyl-3''-xylosyl)-galactoside]",C50H78O25,1078.483218046
HMDB36568,Persenone A,C23H38O4,378.277009704
HMDB36569,Pallidol 3-glucoside,C34H32O11,616.194461866
HMDB36570,"Pallidol 3,3''-diglucoside",C40H42O16,778.247285296
HMDB36571,"Linalool 3,7-oxide beta-primeveroside",C21H36O11,464.225761994
HMDB36572,"3,5,8-Megastigmatrien-7-one",C13H18O,190.135765198
HMDB36573,"1,3,5-Trithiane",C3H6S3,137.963162262
HMDB36574,Carbon disulfide,CS2,75.94414138
HMDB36575,Germacrene B,C15H24,204.187800768
HMDB36576,4-Hydroxy-2-pyrrolidinecarboxylic acid,C5H9NO3,131.058243159
HMDB36577,Trifluoromethanesulfonic acid,CHF3O3S,149.959849203
HMDB36578,Cyperotundone,C16H24,216.187800768
HMDB36579,Carotol,C15H26O,222.198365454
HMDB36580,"5,8-Epoxydaucane",C15H26O,222.198365454
HMDB36581,"1,26-Hexacosanediol",C26H54O2,398.412380972
HMDB36582,6-Methoxy-2(3H)-benzoxazolone,C8H7NO3,165.042593095
HMDB36583,Methyl jasmonate,C13H20O3,224.141244506
HMDB36584,Tetramethylpyrazine,C8H12N2,136.100048394
HMDB36586,"1,3-Dimethoxyanthraquinone",C16H12O4,268.073558872
HMDB36587,Quassin,C22H28O6,388.188588628
HMDB36588,"Capsanthin 5,6-epoxide",C40H56O4,600.41786028
HMDB36589,"1,2-Dehydro-alpha-cyperone",C15H20O,216.151415262
HMDB36590,Capsanthin,C40H56O3,584.422945658
HMDB36591,Cycloartenol,C30H50O,426.386166222
HMDB36592,Validamycin A,C20H35NO13,497.210840211
HMDB36593,Validamycin B,C20H35NO14,513.205754833
HMDB36594,Botryodiplodin,C7H12O3,144.07864425
HMDB36595,Luteone,C20H18O6,354.110338308
HMDB36596,beta-Mangostin,C25H28O6,424.188588628
HMDB36597,"1-Hydroxy-3,6,7-trimethoxy-2,8-diprenylxanthone",C26H30O6,438.204238692
HMDB36598,"(E,E)-2,4-Decadienal",C10H16O,152.120115134
HMDB36599,"Ethyl 2Z,4E-decadienoic acid",C12H20O2,196.146329884
HMDB36600,T2 Toxin,C24H34O9,466.220282686
HMDB36601,3'-Hydroxy-T2 Toxin,C24H34O10,482.215197308
HMDB36602,(S)-Pterosin K,C15H19ClO2,266.107357559
HMDB36603,Pteroside D,C21H30O8,410.194067936
HMDB36604,N-Methylcalystegine B2,C8H15NO4,189.100107973
HMDB36605,Pterosin E,C14H16O3,232.109944378
HMDB36606,Pterosin F,C14H17ClO,236.096792873
HMDB36607,(S)-Pterosin P,C14H18O3,234.125594442
HMDB36608,Pteroside P,C20H28O8,396.178417872
HMDB36609,Rothindin,C22H20O10,444.10564686
HMDB36610,2-Methyl-3-(methylthio)furan,C6H8OS,128.029585568
HMDB36611,2-Methyl-3-furanthiol,C5H6OS,114.013935504
HMDB36612,1-Desulfoyessotoxin,C55H82O18S,1062.52218651
HMDB36613,Rose bengal,C20H4Cl4I4O5,971.499157746
HMDB36615,Homoyessotoxin,C56H84O21S2,1156.49465113
HMDB36616,Pseudobaptigenin,C16H10O5,282.05282343
HMDB36617,(+)-Chebulic acid,C14H12O11,356.037961226
HMDB36618,Toringin,C21H20O9,416.110732238
HMDB36619,"5,7-Dihydroxyflavone",C15H10O4,254.057908808
HMDB36620,"5,7-Dimethoxyflavone",C17H14O4,282.089208936
HMDB36621,Conferone,C24H28O4,380.198759384
HMDB36622,Carboxyyessotoxin,C55H82O23S2,1174.46883031
HMDB36623,4-Deoxycohumulone,C20H28O4,332.198759384
HMDB36624,4-Deoxyhumulone,C21H30O4,346.214409448
HMDB36625,45-Hydroxyhomoyessotoxin,C56H84O22S2,1172.489565752
HMDB36626,"3,4-Dihydro-2H-1-benzopyran-2-one",C9H8O2,148.0524295
HMDB36627,Eugenin,C11H10O4,206.057908808
HMDB36628,9-Hydroxy-4-methoxypsoralen,C12H8O5,232.037173366
HMDB36629,(-)-Maackiain,C16H12O5,284.068473494
HMDB36630,Trifolirhizin,C22H22O10,446.121296924
HMDB36631,Morusin,C25H24O6,420.1572885
HMDB36632,6-Hydroxyluteolin,C15H10O7,302.042652674
HMDB36633,Sinensetin,C20H20O7,372.120902994
HMDB36634,Phlorizin,C21H24O10,436.136946988
HMDB36635,Hydroxytanshinone,C19H18O4,310.120509064
HMDB36636,Methuyl tanshinonate,C20H18O5,338.115423686
HMDB36637,Mulberrofuran Q,C34H24O10,592.136946988
HMDB36638,Albigenic acid,C30H48O4,472.355260024
HMDB36639,Glyyunnansapogenin B,C30H48O5,488.350174646
HMDB36640,Furanofukinin,C16H24O2,248.177630012
HMDB36641,Artabsin,C15H20O3,248.141244506
HMDB36642,Isointermedeol,C15H26O,222.198365454
HMDB36643,Matricin,C17H22O5,306.146723814
HMDB36644,beta-Bulnesene,C15H24,204.187800768
HMDB36645,Globulol,C15H26O,222.198365454
HMDB36646,Cedrelanol,C15H26O,222.198365454
HMDB36647,Isocurcumenol,C15H22O2,234.161979948
HMDB36648,"7-Isopropyl-1,4-dimethylazulene",C15H18,198.140850576
HMDB36649,Sinalbin B,C12H12N2OS2,264.039104396
HMDB36650,Sinalbin A,C12H12N2O2S2,280.034019018
HMDB36651,Euscaphic acid,C30H48O5,488.350174646
HMDB36652,"(2xi,20beta)-2,20-Dihydroxy-3-oxo-12-ursen-28-oic acid",C30H46O5,486.334524582
HMDB36653,Micromeric acid,C30H46O3,454.344695338
HMDB36654,Rubitic acid,C30H48O4,472.355260024
HMDB36655,Rubinic acid,C30H46O4,470.33960996
HMDB36656,Asiaticoside,C48H78O19,958.513730314
HMDB36657,Epi-alpha-amyrin,C30H50O,426.386166222
HMDB36658,alpha-Amyrin acetate,C32H52O2,468.396730908
HMDB36659,alpha-Amyrone,C30H48O,424.370516158
HMDB36660,alpha-Amyrin palmitate,C46H80O2,664.615831804
HMDB36661,Isorosmanol,C20H26O5,346.178023942
HMDB36662,"2beta,9xi-Dihydroxy-8-oxo-1(10),4,11(13)-germacratrien-12,6alpha-olide",C15H18O5,278.115423686
HMDB36663,Hydroxypelenolide,C15H24O3,252.172544634
HMDB36664,Ketopelenolide a,C15H22O3,250.15689457
HMDB36665,Blumealactone A,C20H28O6,364.188588628
HMDB36666,Blumealactone B,C20H28O6,364.188588628
HMDB36667,Zerumbone,C15H22O,218.167065326
HMDB36668,Humulene-8-hydroperoxide,C15H24O2,236.177630012
HMDB36669,(+)-Myrtenyl formate,C11H16O2,180.115029756
HMDB36670,6beta-Hydroxyasiatic acid,C30H48O6,504.345089268
HMDB36671,11-Keto-beta-boswellic acid,C30H46O4,470.33960996
HMDB36672,3alpha-Acetoxy-11-keto-beta-boswellic acid,C32H48O5,512.350174646
HMDB36673,3alpha-Acetomethoxy-11alpha-oxo-12-ursen-24-oic acid,C33H50O5,526.36582471
HMDB36674,Ursololactone,C32H50O4,498.370910088
HMDB36675,"3beta-Hydroxy-28,13-ursanolide",C30H48O3,456.360345402
HMDB36676,12beta-20-Ursen-12-ol,C30H50O,426.386166222
HMDB36677,Strigol,C19H22O6,346.141638436
HMDB36678,alpha-Bergamotene,C15H24,204.187800768
HMDB36679,Faurinone,C15H26O,222.198365454
HMDB36680,Cyperolone,C15H24O2,236.177630012
HMDB36681,7-Isopropyl-5-methylbicyclo[2.2.2]oct-5-en-2-one,C12H18O,178.135765198
HMDB36682,Cascarilladiene,C15H24,204.187800768
HMDB36683,"5,7alpha-Dihydro-1,4,4,7a-tetramethyl-4H-indene",C13H18,174.140850576
HMDB36684,"2,4,5,7alpha-Tetrahydro-1,4,4,7a-tetramethyl-1H-inden-2-ol",C13H20O,192.151415262
HMDB36685,"2,2,6,7-Tetramethylbicyclo[4.3.0]nona-1(9),4-dien-8-one",C13H18O,190.135765198
HMDB36686,"2,2,6,7-Tetramethylbicyclo[4.3.0]nona-1(9),4-diene-7,8-diol",C13H20O2,208.146329884
HMDB36687,Tanavulgarol,C15H24O2,236.177630012
HMDB36688,Costunolide,C15H20O2,232.146329884
HMDB36689,Millefin,C19H26O6,350.172938564
HMDB36690,3-Epinobilin,C20H26O5,346.178023942
HMDB36691,3-Dehydronobilin,C20H24O5,344.162373878
HMDB36692,Heliangin,C20H26O6,362.172938564
HMDB36693,Acetylbalchanolide,C17H24O4,292.167459256
HMDB36694,15-Hydroxyleptocarpin,C20H26O7,378.167853186
HMDB36695,Crispolide,C15H20O5,280.13107375
HMDB36696,Yucalexin B'11,C19H26O3,302.188194698
HMDB36697,"ent-6,16-Kauradien-19-oic acid",C20H28O2,300.20893014
HMDB36698,Ineketone,C20H30O3,318.219494826
HMDB36699,Chlorophenol red,C19H12Cl2O5S,421.978249598
HMDB36700,"ent-7alpha,12beta-Dihydroxy-16-kauren-19,6beta-olide",C20H28O4,332.198759384
HMDB36701,"(ent-6alpha,7alpha,12alpha)-6,7,12-Trihydroxy-16-kauren-19-oic acid",C20H30O5,350.20932407
HMDB36702,Sideridiol,C20H32O2,304.240230268
HMDB36703,Siderone,C20H30O2,302.224580204
HMDB36704,Epoxysiderol,C22H34O4,362.245709576
HMDB36705,Ucriol,C20H32O3,320.23514489
HMDB36706,Steviol,C20H30O3,318.219494826
HMDB36707,Steviobioside,C32H50O13,642.325141686
HMDB36708,Dulcoside A,C38H60O17,788.383050494
HMDB36709,Yucalexin B14,C20H30O2,302.224580204
HMDB36710,Yucalexin B16,C20H28O2,300.20893014
HMDB36711,Yucalexin B7,C20H28O2,300.20893014
HMDB36712,Yucalexin B20,C20H30O3,318.219494826
HMDB36713,Yucalexin B22,C20H30O3,318.219494826
HMDB36714,Yuccaol A,C29H20O8,496.115817616
HMDB36715,Matsutakic acid A,C10H16O4,200.104859
HMDB36716,beta-Santalol,C15H24O,220.18271539
HMDB36717,trans-beta-Santalol,C15H24O,220.18271539
HMDB36718,beta-Santalal,C15H22O,218.167065326
HMDB36719,Norbicycloekasantalal,C11H16O,164.120115134
HMDB36720,Verimol H,C20H24O4,328.167459256
HMDB36721,ent-17-Hydroxy-16beta-kauran-19-al,C20H32O2,304.240230268
HMDB36722,ent-17-Acetoxy-16b-kauran-19-al,C22H34O3,346.250794954
HMDB36723,(ent-16alpha)-16-Kauranol,C20H34O,290.26096571
HMDB36724,ent-17-Hydroxy-15-kauren-19-oic acid,C20H30O3,318.219494826
HMDB36725,ent-17-Oxo-15-kauren-19-oic acid,C20H28O3,316.203844762
HMDB36726,"ent-15-Kaurene-17,19-dioic acid",C20H28O4,332.198759384
HMDB36727,ent-16-Kauren-19-ol,C20H32O,288.245315646
HMDB36728,ent-16-Kauren-19-al,C20H30O,286.229665582
HMDB36729,Kaurenoic acid methyl ester,C21H32O2,316.240230268
HMDB36730,Tricyclohumuladiol,C15H26O2,238.193280076
HMDB36731,beta-Neoclovene,C15H24,204.187800768
HMDB36732,alpha-Caryophyllene alcohol,C15H26O,222.198365454
HMDB36733,Vulgarone A,C15H22O,218.167065326
HMDB36734,"11,12,13-Trinor-1(10)-spirovetivene-2,7-dione",C12H16O2,192.115029756
HMDB36735,Bilobalide A,C15H18O8,326.100167552
HMDB36736,beta-Patchoulene,C15H24,204.187800768
HMDB36737,delta-Patchoulene,C15H24,204.187800768
HMDB36738,Lettucenin A,C15H12O3,240.07864425
HMDB36739,Yuccaol C,C30H22O10,542.121296924
HMDB36740,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,318.255880332
HMDB36741,"1-Hydroxy-2,12,15-heneicosatrien-4-one",C21H36O2,320.271530396
HMDB36742,Eucaglobulin,C23H30O12,498.173726424
HMDB36743,alpha-Amyrin tetratriacontanoate,C64H116O2,916.897532956
HMDB36744,alpha-Amyrin cerotate,C56H100O2,804.772332444
HMDB36745,"(2xi,3xi)-2,3-Dihydroxy-12,18-ursadien-28-oic acid diacetate",C34H50O6,554.360739332
HMDB36746,Matsutakeside I,C30H36O14,620.21050586
HMDB36747,"ent-7-Oxo-8(14),15-pimaradien-19-oic acid",C20H28O3,316.203844762
HMDB36748,Momilactone A,C20H26O3,314.188194698
HMDB36749,Momilactone B,C20H26O4,330.18310932
HMDB36750,Momilactone C,C20H28O3,316.203844762
HMDB36751,"ent-8(14),15-Pimaradiene",C20H32,272.250401024
HMDB36752,Yucalexin P17,C20H30O3,318.219494826
HMDB36753,Yucalexin P15,C20H26O4,330.18310932
HMDB36754,Yucalexin P21,C20H32O2,304.240230268
HMDB36755,Yucalexin P8,C20H26O4,330.18310932
HMDB36756,"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid",C20H32O5,352.224974134
HMDB36757,Bryonolic acid,C30H48O3,456.360345402
HMDB36758,Isomultiflorenol,C30H50O,426.386166222
HMDB36759,Pregeijerene,C12H18,162.140850576
HMDB36760,"(ent-16betaOH)-16,17-Dihydroxy-9(11)-kauren-19-oic acid",C20H30O4,334.214409448
HMDB36761,"7,18-Dihydroxykaurenolide",C20H28O4,332.198759384
HMDB36762,ent-15-Oxo-16-kauren-19-oic acid,C20H28O3,316.203844762
HMDB36763,"(ent-6alpha,7alpha)-6,7-Dihydroxy-16-kauren-19-oic acid",C20H30O4,334.214409448
HMDB36764,Romucosine C,C20H21NO5,355.141972787
HMDB36765,Romucosine D,C21H23NO5,369.157622851
HMDB36766,Furanogermenone,C15H20O2,232.146329884
HMDB36767,Zederone,C15H18O3,246.125594442
HMDB36768,Furanodienone,C15H18O2,230.13067982
HMDB36769,Furanodiene,C15H20O,216.151415262
HMDB36770,Desacetyllaurenobiolide,C15H20O3,248.141244506
HMDB36771,Laurenobiolide,C17H22O4,290.151809192
HMDB36772,Glechomafuran,C15H20O3,248.141244506
HMDB36773,Tavulin,C15H20O4,264.136159128
HMDB36774,Sebiferic acid,C30H48O2,440.36543078
HMDB36775,Yucalexin A16,C20H30O2,302.224580204
HMDB36776,Yucalexin A19,C20H30O3,318.219494826
HMDB36777,Diosbulbin B,C19H20O6,344.125988372
HMDB36778,Diosbulbin C,C19H22O7,362.136553058
HMDB36779,Diosbulbin E,C19H22O6,346.141638436
HMDB36780,Diosbulbin F,C20H24O7,376.152203122
HMDB36781,Diosbulbin H,C23H30O7,418.199153314
HMDB36782,Diosbulbin G,C19H22O6,346.141638436
HMDB36783,Diosbulbinoside F,C26H34O12,538.205026552
HMDB36784,6-Hexyltetrahydro-2H-pyran-2-one,C11H20O2,184.146329884
HMDB36785,Erioglaucine A,C37H37N2O9S3,749.166117862
HMDB36786,Lansic acid,C30H46O4,470.33960996
HMDB36787,"alpha,gamma-Onoceradienedione",C30H46O2,438.349780716
HMDB36788,beta-Betulenol,C15H24O,220.18271539
HMDB36789,Caryophyllene alpha-oxide,C15H24O,220.18271539
HMDB36790,Kobusone,C14H22O2,222.161979948
HMDB36791,Isokobusone,C14H22O2,222.161979948
HMDB36792,beta-Caryophyllene,C15H24,204.187800768
HMDB36793,"3,15-Epoxy-6-caryophyllene",C15H24O,220.18271539
HMDB36794,Azorhodine 2G,C18H15N3O8S2,465.030055851
HMDB36795,Azorubine,C20H14N2O7S2,458.024242192
HMDB36796,"(1alpha,6alpha,7alphaH)-2,4(15)-Copadiene",C15H22,202.172150704
HMDB36797,Mustakone,C15H22O,218.167065326
HMDB36798,8alpha-3-Copaen-8-ol,C15H24O,220.18271539
HMDB36799,Cycloseychellene,C15H24,204.187800768
HMDB36800,3beta-Hydroxy-22(30)-hopen-29-al,C30H48O2,440.36543078
