HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB00254,Succinic acid,C4H6O4,118.02660868
HMDB00256,Squalene,C30H50,410.3912516
HMDB00257,Thiosulfate,O3S2,111.928885246
HMDB00258,Sucrose,C12H22O11,342.116211546
HMDB00259,Serotonin,C10H12N2O,176.094963016
HMDB00262,Thymine,C5H6N2O2,126.042927446
HMDB00263,Phosphoenolpyruvic acid,C3H5O6P,167.982374404
HMDB00265,Liothyronine,C15H12I3NO4,650.790038137
HMDB00267,Pyroglutamic acid,C5H7NO3,129.042593095
HMDB00268,Tetrahydrocorticosterone,C21H34O4,350.245709576
HMDB00269,Sphinganine,C18H39NO2,301.298079497
HMDB00271,Sarcosine,C3H7NO2,89.047678473
HMDB00272,Phosphoserine,C3H8NO6P,185.008923505
HMDB00273,Thymidine,C10H14N2O5,242.090271568
HMDB00277,Sphingosine 1-phosphate,C18H38NO5P,379.248759843
HMDB00279,Saccharopine,C11H20N2O6,276.132136382
HMDB00280,Phosphoribosyl pyrophosphate,C5H13O14P3,389.95181466
HMDB00283,D-Ribose,C5H10O5,150.05282343
HMDB00285,Uridine triphosphate,C9H15N2O15P3,483.968527356
HMDB00286,Uridine diphosphate glucose,C15H24N2O17P2,566.055020376
HMDB00288,Uridine 5'-monophosphate,C9H13N2O9P,324.035866536
HMDB00289,Uric acid,C5H4N4O3,168.028340014
HMDB00290,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,607.081569477
HMDB00291,Vanillylmandelic acid,C9H10O5,198.05282343
HMDB00292,Xanthine,C5H4N4O2,152.033425392
HMDB00293,Xanthosine 5-triphosphate,C10H15N4O15P3,523.974675366
HMDB00294,Urea,CH4N2O,60.03236276
HMDB00295,Uridine 5'-diphosphate,C9H14N2O12P2,404.002196946
HMDB00296,Uridine,C9H12N2O6,244.069536126
HMDB00299,Xanthosine,C10H12N4O6,284.075684136
HMDB00300,Uracil,C4H4N2O2,112.027277382
HMDB00301,Urocanic acid,C6H6N2O2,138.042927446
HMDB00302,Uridine diphosphategalactose,C15H24N2O17P2,566.055020376
HMDB00303,Tryptamine,C10H12N2,160.100048394
HMDB00304,Uridine diphosphate-N-acetylgalactosamine,C17H27N3O17P2,607.081569477
HMDB00305,Vitamin A,C20H30O,286.229665582
HMDB00306,Tyramine,C8H11NO,137.084063979
HMDB00307,1b-Hydroxycholic acid,C24H40O6,424.282489012
HMDB00308,3b-Hydroxy-5-cholenoic acid,C24H38O3,374.282095082
HMDB00309,"3a,16b-Dihydroxyandrostenone",C19H28O3,304.203844762
HMDB00310,Methylacetoacetic acid,C5H8O3,116.047344122
HMDB00311,"3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00312,"3a,7a,12b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00313,16b-Hydroxyestrone,C18H22O3,286.15689457
HMDB00314,3b-Allotetrahydrocortisol,C21H34O5,366.240624198
HMDB00315,16-a-Hydroxypregnenolone,C21H32O3,332.23514489
HMDB00316,"2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid",C24H40O6,424.282489012
HMDB00317,2-Hydroxy-3-methylpentanoic acid,C6H12O3,132.07864425
HMDB00318,"3,4-Dihydroxyphenylglycol",C8H10O4,170.057908808
HMDB00319,18-Hydroxycorticosterone,C21H30O5,362.20932407
HMDB00320,"3a,4b,7a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00321,2-Hydroxyadipic acid,C6H10O5,162.05282343
HMDB00322,16-Oxoandrostenediol,C19H28O3,304.203844762
HMDB00323,3-Amino-2-piperidone,C5H10N2O,114.079312952
HMDB00324,"3a,16a-Dihydroxyandrostenone",C19H28O3,304.203844762
HMDB00325,3-Hydroxysuberic acid,C8H14O5,190.084123558
HMDB00326,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00328,12-Ketodeoxycholic acid,C24H38O4,390.277009704
HMDB00329,2-Phenylbutyric acid,C10H12O2,164.083729628
HMDB00330,"3a,4b,12a-Trihydroxy-5b-cholanoic acid",C24H40O5,408.28757439
HMDB00331,"3a,7b,12a-Trihydroxyoxocholanyl-Glycine",C26H43NO6,465.309038113
HMDB00332,18-Oxocortisol,C21H28O6,376.188588628
HMDB00333,Isohomovanillic acid,C9H10O4,182.057908808
HMDB00335,16a-Hydroxyestrone,C18H22O3,286.15689457
HMDB00336,(R)-3-Hydroxyisobutyric acid,C4H8O3,104.047344122
